,o0,o1,o2,o3,o4,o5,o6,o7,o8
A,0.9295080710785647,0.02924284154991079,0.03295063934083018,0.000629083721595474,0.06570426762305509,0.0030667217608894046,0.10025890968487744,0.07393187345154387,0.05022261372927561
B,0.009801058085305573,0.9621366304266901,0.05933866722888204,0.05580501756809736,0.014284083203608104,0.023337410728117954,0.031820163262536276,0.00038428331624972147,0.005030139472025934
C,0.0022603733043203467,0.06651693195295581,0.07600940346289031,0.13485191786623754,0.12303838859536957,0.10120723985318487,0.03711195087647864,0.03110761893258626,0.0011038481425363364
D,0.00014643845267180375,0.04988835081254358,0.05776335365728722,0.8417357477445542,0.0011402036170964135,0.02651137867990682,0.040734629580291705,0.023102740088000194,0.015484000152913796
E,0.04211950920689753,0.0626698574744241,0.07834023570148016,0.010683056024546613,0.8954377202823719,0.0411645226179439,0.05599392300450268,0.0419259738349665,8.389099712986221e-05
F,0.040623533280675785,0.06879967324128554,0.07485816040252523,0.013295182011950376,0.8809564759136232,0.024808514045944575,0.06739966338945624,0.034920348355087505,8.179403287395434e-05
G,0.0024751137138288356,0.8615688278174585,0.0791844526054241,0.14106681064545318,0.09080667758664182,0.058127766080516736,0.004524829302061736,0.003188873265250639,0.00039565950270713945
H,0.8855118468948036,0.06624576536698538,0.0316772533707936,0.0011252610027449729,0.024492176648310236,0.0026060615392202676,0.06992343070069003,0.043398843257719824,0.07345708937354904
I,0.0002834767929405778,0.02399428900933959,0.10093921574715146,0.14976587365469254,0.027211677904987325,0.8972113817008903,0.06750528814945433,0.03687969961003872,0.012195481475748093
J,0.0014629886349448059,0.026097870726208408,0.08776372513915255,0.07813802507942431,0.006167515260322073,0.9076505056211585,0.006911258258742618,0.12061783782012558,0.05066887181311207
K,0.021189199945459494,0.0039063211093289954,0.04082084297843047,0.05101624008694045,0.008249968460425288,0.011566057268726929,0.851685546174069,0.021647479097028143,0.11060412707432951
L,0.051087863333911,9.0764161426997e-05,0.047093536559982364,0.047010499550565375,0.018176442652153995,0.05420448255451567,0.04277065787488025,0.8631693556624414,0.05168787061315392
M,0.03368457691595735,0.026519516870294486,0.029791767147436046,0.11936400396003324,1.732582239848439e-05,0.01747160347801745,0.057962193580793964,0.04168456600617033,0.9111351789309722
N,0.03279742648956045,0.02830092107948064,0.030167841204260394,0.11652146449869141,1.7434496834210372e-05,0.01956303717301824,0.05581777235183623,0.04038435341118049,0.9114496362875993
O,0.0001515705215566871,0.049799768490280436,0.058216607071451903,0.8389452684714284,0.0012789002098923703,0.026469487029038813,0.03639483434243689,0.024829497804044226,0.013672011580257042
P,0.014643681646925488,0.9137926031954862,0.05389589072744732,0.06367476276810294,0.021859060052542567,0.007491233993124984,0.04470884296829985,0.0006695492592161111,0.0033044229666814016
